ECCOLA_Code,Questions
# 9 Access to Data,How do you ensure that the people who access the data: 1) have a valid reason to do so; and 2) adhere to the regulations and policies related to the data?
# 9 Access to Data,Do you keep logs of who accesses the data and when? Do the logs also tell why?
# 9 Access to Data,Do you use existing data governance frameworks or protocols? Does your organization have its own?
# 10 Human Agency,"Does the system interact with decisions by human actors, i.e. end users (e.g. recommending users actions or decisions, or presenting options)? "
# 10 Human Agency,"Does the system communicate to its (end) users that a decision, content or outcome is the result of an algorithmic decision? Into how much detail does it go?"
# 10 Human Agency,"In the system�s use context, what tasks are done by the system and what tasks are done by humans?"
# 10 Human Agency,Have you taken measures to prevent overconfidence or overreliance on the system?
# 11 Human Oversight,Who can control the system and how? In what situations?
# 11 Human Oversight,What would be the appropriate level of human control for this particular system and its use cases?
# 11 Human Oversight,"Related to the Safety and Security cards: how do you detect and respond if something goes wrong? Does the system then stop entirely, partially, or would control be delegated to a human? Why?"
# 12 System Security,Did you assess potential forms of attacks to which the system could be vulnerable? Did you consider ones that are unique or more relevant to AI systems?
# 12 System Security,"Did you consider different types of vulnerabilities, such as data pollution and physical infrastructure? "
# 12 System Security,Have you verified how your system behaves in unexpected situations and environments? 
# 12 System Security,Does your organization have cybersecurity personnel? Are they involved in this system?
# 13 System Safety,What kind of risks does the system involve? What kind of damage could it cause?
# 13 System Safety,How do you measure and assess risks and safety? 
# 13 System Safety,What fallback plans does your system have? Have they been tested?
# 13 System Safety,In what conditions do the fallback plans trigger? Are they automatic or do they require human input?
# 13 System Safety,"Is there a plan to mitigate or manage technological errors, accidents, or malicious misuse? What if the systems provides wrong results, becomes unavailable, or provides societally unacceptable results?"
# 13 System Safety,What liability and consumer protection laws apply to your system? Have you taken them into account?
# 14 Accessibility,"Does the system consider a wide range of individual preferences and abilities? If not, why? "
# 14 Accessibility,"Is the system usable by those with special needs or disabilities, those at risk of exclusion, or those using assistive technologies? "
# 14 Accessibility,Were people representing various groups somehow involved in the development of the system?
# 14 Accessibility,How is the potential user audience taken into account? 
# 14 Accessibility,Is the team involved in building the system representative of your target user audience? Is it representative of the general population?
# 14 Accessibility,Did you assess whether there could be (groups of) people who might be disproportionately affected by the negative implications of the system?
# 15 Stakeholder Participation,Which stakeholders are stakeholders in system development?
# 15 Stakeholder Participation,"How are the different stakeholders of the system involved in the development of the system? If they aren�t, why?"
# 15 Stakeholder Participation,How do you inform your external and internal stakeholders of the system�s development?
# 16 Environmental Impact,"Did you assess the environmental impact of the system�s development, deployment, and use? E.g., the type of energy used by the data centers. "
# 16 Environmental Impact,Did you consider the environmental impact when selecting specific technical solutions? 
# 16 Environmental Impact,Did you ensure measures to reduce the environmental impact of your system�s life cycle?
# 17 Societal Effects,Did you assess the broader societal impact of the AI system�s use beyond the individual (end-)users? Consider stakeholders who might be indirectly affected by the system.
# 17 Societal Effects,How will the systems affect society when in use?
# 17 Societal Effects,What kind of systemic effects could the system have?
# 18 Auditability,Is the system auditable?
# 18 Auditability,Can an audit be conducted independently?
# 18 Auditability,Is the system available for inspection?
# 18 Auditability,What mechanisms facilitate the system�s auditability? How is traceability and logging of the system�s processes and outcomes ensured?
# 19 Ability to Redress,What is your (developer organization) responsibility if the system causes damage or otherwise has a negative impact?
# 19 Ability to Redress,"In the event of negative impact, can the ones affected seek redress?"
# 19 Ability to Redress,How do you inform users and other third parties about opportunities for redress?
# 20 Minimizing Negative Impacts,"Are the people involved with the development of the system also involved with it during its operational life? If not, they may not feel as accountable."
# 20 Minimizing Negative Impacts,Are you aware of laws related to the system?
# 20 Minimizing Negative Impacts,"Can users of the system somehow report vulnerabilities, risks, and other issues in the system?"
# 20 Minimizing Negative Impacts,"With whom have you discussed accountability and other ethical issues related to the system, including grey areas?"
